Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472823291,000000A7,false,Rx,0,8,7D,0A,E0,7F,FD,FD,97,3D,
472823525,000000A8,false,Rx,0,8,0D,9A,1D,A1,82,64,1C,0E,
472823766,00000107,false,Rx,0,8,00,00,F8,2C,01,00,59,A6,
472823988,00000120,false,Rx,0,8,52,0D,00,02,01,08,FF,01,
472824224,00000121,false,Rx,0,8,8B,0D,00,40,37,5A,7E,FE,
472824457,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472824758,17F00015,true,Rx,0,8,00,15,00,00,00,00,00,80,
472825218,000000AF,false,Rx,0,4,83,76,00,00,00,00,00,00,
472826184,00000086,false,Rx,0,8,67,0A,2C,20,00,00,00,00,
472832819,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472832832,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
472832838,00000116,false,Rx,0,8,65,0C,01,00,20,00,00,FF,
472832843,000003E5,false,Rx,0,8,28,2E,00,00,00,00,00,00,
472832848,000000AD,false,Rx,0,8,5E,ED,BF,FF,00,14,00,00,
472832854,000000AE,false,Rx,0,8,B2,0D,00,00,FF,3C,01,02,
472832859,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
472832864,0000012D,false,Rx,0,8,98,87,7F,00,00,00,FE,3F,
472833295,000000A7,false,Rx,0,8,13,0B,E0,7F,FD,FD,97,3D,
472833530,000000A8,false,Rx,0,8,87,9B,1D,A1,82,64,20,0E,
472833777,0000030B,false,Rx,0,8,10,24,00,00,08,00,00,10,
472834612,000003B5,false,Rx,0,8,87,FE,12,3C,0C,99,20,00,
472835223,000000AF,false,Rx,0,4,83,77,00,00,00,00,00,00,
472836184,00000086,false,Rx,0,8,03,0B,2C,20,00,00,00,00,
472836478,0000012B,false,Rx,0,8,0B,44,40,28,00,00,00,00,
472837500,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472837758,00000101,false,Rx,0,8,77,0D,80,00,A2,01,00,00,
472838020,00000106,false,Rx,0,8,A2,0D,63,00,02,00,00,00,
472838275,0000011E,false,Rx,0,8,5E,0D,00,00,00,00,00,00,
472841329,000000AD,false,Rx,0,8,84,EE,BF,FF,00,14,00,00,
472841563,000000AE,false,Rx,0,8,8A,0E,00,00,FF,3C,01,02,
472841849,00000394,false,Rx,0,8,1C,1C,00,1A,00,00,00,00,
472842084,00000365,false,Rx,0,8,AD,06,14,00,8D,0F,88,7A,
472843302,000000A7,false,Rx,0,8,AC,0C,E0,7F,FD,FD,97,3D,
472843536,000000A8,false,Rx,0,8,DE,9C,1D,A1,82,64,1C,0E,
472843760,00000107,false,Rx,0,8,00,00,F8,2C,01,00,66,A6,
472844004,00000120,false,Rx,0,8,39,0E,00,02,01,08,FF,01,
472844239,00000121,false,Rx,0,8,25,0E,00,00,37,5A,7E,FE,
472844472,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472844715,00000391,false,Rx,0,8,12,8C,22,4A,00,27,00,22,
472844959,000003BE,false,Rx,0,8,75,0E,E6,00,C8,80,00,80,
472845112,000003C0,false,Rx,0,4,31,02,03,00,00,00,00,00,
472845288,000000AF,false,Rx,0,4,83,78,00,00,00,00,00,00,
472845543,000003C7,false,Rx,0,8,76,10,24,00,00,40,80,00,
472845788,000003D6,false,Rx,0,8,01,00,00,00,00,00,30,00,
472846189,00000086,false,Rx,0,8,10,0C,2C,20,00,00,00,00,
472852782,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472852788,000000FD,false,Rx,0,8,19,DD,1F,80,00,00,00,00,
472852793,00000116,false,Rx,0,8,01,0D,01,00,20,00,00,FF,
472852798,000000AD,false,Rx,0,8,D5,EF,BF,FF,00,14,00,00,
472852804,000000AE,false,Rx,0,8,68,0F,00,00,FF,3C,01,02,
472852809,00000128,false,Rx,0,3,84,00,28,00,00,00,00,00,
472852814,000005AC,false,Rx,0,8,00,00,FF,FE,FE,F7,07,00,
472852819,0000012D,false,Rx,0,8,57,88,7F,00,00,00,FE,3F,
472853317,000000A7,false,Rx,0,8,5C,0D,E0,7F,FD,FD,97,3D,
472853553,000000A8,false,Rx,0,8,85,9D,1D,A1,82,64,10,0E,
472855230,000000AF,false,Rx,0,4,83,79,00,00,00,00,00,00,
472856191,00000086,false,Rx,0,8,74,0D,2C,20,00,00,00,00,
472857448,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472857707,00000101,false,Rx,0,8,DB,0E,80,00,A2,01,00,00,
472857971,00000106,false,Rx,0,8,0E,0E,63,00,02,00,00,00,
472858225,0000011E,false,Rx,0,8,F2,0E,00,00,00,00,00,00,
472861302,000000AD,false,Rx,0,8,48,E0,BF,FF,00,14,00,00,
472861557,000000AE,false,Rx,0,8,DF,00,00,00,FF,3C,01,02,
472861842,000000B1,false,Rx,0,8,ED,29,00,00,00,00,00,00,
472862142,16A95414,true,Rx,0,8,00,30,7E,C3,0F,00,00,00,
472863361,000000A7,false,Rx,0,8,90,0E,E0,7F,FD,01,98,3D,
472863595,000000A8,false,Rx,0,8,D7,9E,1D,A1,82,64,00,0E,
472863848,00000107,false,Rx,0,8,00,00,F8,2C,01,00,73,A6,
472864057,00000120,false,Rx,0,8,EC,0F,00,02,01,08,FF,01,
472864317,00000121,false,Rx,0,8,AE,0F,00,40,37,5A,7E,FE,
472864551,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472865081,000000AF,false,Rx,0,4,83,7A,28,01,00,00,00,00,
472866182,00000086,false,Rx,0,8,D8,0E,2C,20,00,00,00,00,
472866438,0000012B,false,Rx,0,8,AE,45,40,28,00,00,00,00,
472871611,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472871616,000000FD,false,Rx,0,8,E6,DE,1F,80,00,00,00,00,
