Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
983781384,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983801806,00000779,false,Rx,0,8,05,62,2B,F3,2F,00,AA,AA,
983841389,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983861797,00000779,false,Rx,0,8,05,62,2B,F3,22,00,AA,AA,
983901423,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983921767,00000779,false,Rx,0,8,05,62,2B,F3,1B,00,AA,AA,
983961429,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983982007,00000779,false,Rx,0,8,05,62,2B,F3,17,00,AA,AA,
984021343,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984042494,00000779,false,Rx,0,8,05,62,2B,F3,1B,00,AA,AA,
984081392,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984102590,00000779,false,Rx,0,8,05,62,2B,F3,19,00,AA,AA,
984141423,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984162414,00000779,false,Rx,0,8,05,62,2B,F3,14,00,AA,AA,
984198630,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
984201431,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984222766,00000779,false,Rx,0,8,05,62,2B,F3,0C,00,AA,AA,
984261323,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984283127,00000779,false,Rx,0,8,05,62,2B,F3,06,00,AA,AA,
984351412,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984372434,00000779,false,Rx,0,8,05,62,2B,F3,05,00,AA,AA,
984411435,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984433218,00000779,false,Rx,0,8,05,62,2B,F3,04,00,AA,AA,
984471443,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984493178,00000779,false,Rx,0,8,05,62,2B,F3,04,00,AA,AA,
984531442,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984553155,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
984621402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984643713,00000779,false,Rx,0,8,05,62,2B,F3,02,00,AA,AA,
984698600,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
984711443,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984733014,00000779,false,Rx,0,8,05,62,2B,F3,01,00,AA,AA,
984771323,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984792988,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
984831355,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984852953,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
984891402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984912879,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
984951412,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
984972818,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985011441,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985032787,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985071344,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985093206,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985131372,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985153159,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985198588,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
985221416,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985243712,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985281402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985303890,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985341366,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985364860,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985401415,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985424606,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985461352,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985484920,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985521376,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985544621,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985581402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985604607,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985641435,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985664882,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985698572,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
985701451,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985724640,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985761343,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985785296,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985821470,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985835022,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985881343,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985895392,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
985941365,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
985956135,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986031443,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986046749,00000779,false,Rx,0,8,05,62,2B,F3,01,00,AA,AA,
986091450,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986106746,00000779,false,Rx,0,8,05,62,2B,F3,01,00,AA,AA,
986151332,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986166668,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986198560,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
986211383,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986227414,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986271384,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986288193,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986331402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986348667,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986391434,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986409767,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986451471,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986470060,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986541372,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986560158,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986601403,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986620086,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986661411,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986680039,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
986698550,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
986721442,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
986740008,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
